pkg_name,pkg_size,category,sub_category,country,platform,device_brand_name,lang,osv,bundle_size,adx_times,aff_times,direct_times,request14,impression14,click14,ctr14,cvr14,sim_clickconvir_score,sim_clickconvf_score,sim_installir_score,sim_installf_score,pkgBundleWeight,pkgBundleWeightSim
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REDMI,ENGLISH,10,2.944439,56,1,0,287,14,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.020315,-3.004244
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.639057,3,5,1,229,19,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.845084,-3.197134
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REALME,ENGLISH,10,2.639057,0,7,5,210,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.02273,-3.302444
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.890372,1,11,7,190,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.184799,-3.378256
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,HUAWEI,ENGLISH,10,2.564949,5,31,11,187,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.644764,-3.168458
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,ENGLISH,8.1,3.912023,7,56,31,174,64,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.953664,-2.908537
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.639057,11,3,56,167,11,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.906484,-2.979936
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,3.401197,31,0,3,156,9,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.688069,-3.108122
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,30,2.302585,56,5,0,145,43,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.642258,-3.249393
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,ENGLISH,11,3.526361,3,7,1,134,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.057082,-2.838875
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,MOTOROLA,ENGLISH,8.1,3.091042,0,11,5,123,11,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.991375,-3.107499
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.70805,1,31,7,112,8,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.179195,-3.18221
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,2.944439,5,56,11,101,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.832359,-2.727917
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,TECNO,HINDI,30,1.609438,7,3,31,90,21,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.363593,-3.037596
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,TECNO,ENGLISH,10,4.060443,11,0,56,79,42,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.026637,-2.886043
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,4.406719,31,1,3,68,8,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.965878,-3.008472
